Année,Australia,Canada,Chine,France,GRB,Germany,India,Japon,USA
1960,0.1858,0.4046,0.5972,0.6223,0.7323,,0.3703,0.4431,5.433
1961,0.1965,0.4093,0.5006,0.6746,0.7774,,0.3923,0.5351,5.633
1962,0.1989,0.4223,0.4721,0.7561,0.8125,,0.4216,0.6072,6.051
1963,0.2151,0.4503,0.5071,0.8476,0.8656,,0.4842,0.695,6.386
1964,0.2376,0.4938,0.5971,0.9401,0.9441,,0.5648,0.8175,6.858
1965,0.2594,0.5452,0.7044,1.0154,1.0182,,0.5955,0.9095,7.437
1966,0.2727,0.6109,0.7672,1.1005,1.0857,,0.4587,1.0563,8.15
1967,0.304,0.6567,0.7288,1.1897,1.1312,,0.5013,1.2378,8.617
1968,0.3267,0.7183,0.7085,1.2979,1.0776,,0.5309,1.466,9.425
1969,0.3663,0.7915,0.7971,1.419,1.1646,,0.5845,1.722,10.199
1970,0.4127,0.879,0.926,1.4846,1.3067,2.1584,0.6242,2.1261,10.733
1971,0.4515,0.9927,0.998,1.6597,1.4811,2.4999,0.6735,2.4015,11.6485
1972,0.5197,1.1308,1.1369,2.0349,1.6997,2.998,0.7146,3.1803,12.7911
1973,0.6374,1.3132,1.3854,2.6443,1.9254,3.9837,0.8552,4.3208,14.2538
1974,0.8883,1.6041,1.4418,2.8555,2.0613,4.453,0.9953,4.7963,15.4524
1975,0.9717,1.7383,1.6343,3.6083,2.4176,4.9064,0.9847,5.2154,16.849
1976,1.0492,2.0658,1.5394,3.7232,2.3261,5.1975,1.0272,5.8616,18.7341
1977,1.102,2.1161,1.7494,4.1028,2.6307,6.005,1.2149,7.2141,20.8183
1978,1.1834,2.1863,1.4954,5.0671,3.3588,7.4047,1.373,10.1361,23.516
1979,1.3471,2.4307,1.7828,6.1395,4.3899,8.8135,1.5299,10.5501,26.2733
1980,1.4977,2.7385,1.9115,7.0129,5.6495,9.5029,1.8633,11.0539,28.5731
1981,1.7664,3.0621,1.9587,6.1555,5.4077,8.0047,1.9349,12.1899,32.0704
1982,1.9377,3.1351,2.0509,5.8488,5.1505,7.7658,2.0072,11.3452,33.4379
1983,1.7703,3.4055,2.3069,5.5987,4.8962,7.7068,2.1826,12.4332,36.3404
1984,1.9324,3.5537,2.5995,5.3068,4.6149,7.2511,2.1216,13.1838,40.3761
1985,1.8023,3.6476,3.0949,5.5314,4.8929,7.3253,2.3251,13.9889,43.3898
1986,1.8204,3.7744,3.0076,7.7147,6.0145,10.4626,2.4899,20.7895,45.7963
1987,1.8906,4.3132,2.7297,9.3417,7.4516,12.9818,2.7903,25.3281,48.5522
1988,2.3566,5.0735,3.1235,10.1885,9.1012,14.0123,2.9659,30.7168,52.3644
1989,2.9927,5.6506,3.4777,10.2521,9.2688,13.9897,2.9604,30.5491,56.4158
1990,3.1078,5.9393,3.6086,12.6918,10.9317,17.7167,3.2098,31.3282,59.6314
1991,3.2531,6.1033,3.8337,12.6928,11.428,18.6895,2.7011,35.8442,61.5813
1992,3.2488,5.9239,4.2692,14.0147,11.7966,21.3157,2.8821,39.0881,65.2033
1993,3.1154,5.7717,4.4473,13.2282,10.6139,20.7132,2.793,44.5414,68.5856
1994,3.2221,5.7814,5.6432,13.9398,11.4049,22.0507,3.2728,49.0704,72.8724
1995,3.6722,6.0403,7.3455,16.0109,13.4158,25.8579,3.6028,54.4912,76.3975
1996,4.003,6.2855,8.6375,16.0568,14.1536,24.9724,3.929,48.3371,80.7312
1997,4.3457,6.5282,9.616,14.5288,15.5908,22.1199,4.1587,44.1473,85.7755
1998,3.989,6.3181,10.2904,15.0311,16.5017,22.3899,4.2135,40.3251,90.6282
1999,3.8861,6.7608,10.94,14.9265,16.824,21.942,4.5882,45.6208,96.3066
2000,4.1522,7.423,12.1135,13.6225,16.5782,19.4315,4.6839,48.8752,102.5235
2001,3.7838,7.3638,13.394,13.7647,16.4025,19.4411,4.8544,43.0354,105.8182
2002,3.9465,7.5795,14.7055,14.9429,17.8447,20.6862,5.1494,41.1512,109.3642
2003,4.6649,8.9238,16.6029,18.4048,20.5302,24.9613,6.077,44.4566,114.5824
2004,6.1249,10.232,19.5535,21.1574,24.1693,28.0919,7.0915,48.1515,122.1373
2005,6.9341,11.6936,22.8597,21.9613,25.3868,28.458,8.2038,47.5541,130.3664
2006,7.4605,13.1542,27.5213,23.1859,27.1375,29.922,9.4026,45.3038,138.1461
2007,8.531,14.6498,35.5034,26.5721,31.0088,34.2123,12.1674,45.1526,144.5186
2008,10.54,15.4913,45.9431,29.1838,29.2267,37.3003,11.989,50.3791,147.1284
2009,9.2781,13.7115,51.017,26.9022,24.1091,33.9779,13.4189,52.3138,144.4893
2010,11.4614,16.1354,60.8716,26.4261,24.7524,33.9635,16.7562,57.001,149.9205
2011,13.9665,17.8914,75.515,28.6141,26.5931,37.4441,18.2305,61.5746,155.4258
2012,15.4615,18.2397,85.3223,26.8383,27.0489,35.2734,18.2764,62.0321,161.9701
2013,15.7618,18.4202,95.7041,28.1108,27.8602,37.3274,18.5672,51.5572,167.8485
2014,14.6748,18.0148,104.3853,28.5217,30.638,38.8392,20.3913,48.5041,175.2175
2015,13.5169,15.529,110.1554,24.3821,29.2859,33.6055,21.0359,43.8948,182.193
2016,12.0885,15.2671,111.3795,24.7129,26.9428,34.6679,22.9043,49.2667,187.0719
2017,13.3014,16.4687,121.4349,25.8629,26.6623,36.5675,26.5224,48.5995,194.8539
2018,14.339,17.1334,136.0815,27.7754,28.553,39.4762,27.1873,49.7132,205.4434
